Fecha,ARIMA,LSTM,Bayesiana,Ensemble
2025-03-15 04:40:14.332000700+00:00,113.68820497339232,105.85182,116.61004513983823,112.05002400421488
2025-03-16 04:40:14.332000700+00:00,113.85814313323895,95.21633,116.61139656937189,108.56195706151482
2025-03-17 04:40:14.332000700+00:00,113.97852002195773,83.557144,116.61274799890555,104.71613739530078
2025-03-18 04:40:14.332000700+00:00,114.0637898362872,72.85934,116.61409942843922,101.17907537258458
2025-03-19 04:40:14.332000700+00:00,114.12419130797473,64.45043,116.61545085797287,98.39669132989269
2025-03-20 04:40:14.332000700+00:00,114.16697711454307,58.468838,116.61680228750653,96.41753904669558
2025-03-21 04:40:14.332000700+00:00,114.19728474103891,54.775665,116.6181537170402,95.19703458042743
2025-03-22 04:40:14.332000700+00:00,114.218753361067,53.39678,116.61950514657386,94.74501220477676
2025-03-23 04:40:14.332000700+00:00,114.2339608088021,54.207485,116.62085657610751,95.02076752796141
2025-03-24 04:40:14.332000700+00:00,114.24473311118172,55.949017,116.62220800564118,95.60531922928926
2025-03-25 04:40:14.332000700+00:00,114.25236374720818,58.114388,116.62355943517484,96.33010356486335
2025-03-26 04:40:14.332000700+00:00,114.25776896181472,60.451324,116.62491086470851,97.11133476313796
2025-03-27 04:40:14.332000700+00:00,114.26159778353303,63.08566,116.62626229424217,97.99117303495827
2025-03-28 04:40:14.332000700+00:00,114.26430995628061,66.133514,116.62761372377582,99.00847936145111
2025-03-29 04:40:14.332000700+00:00,114.26623114288941,69.33477,116.6289651533095,100.07665549961187
2025-03-30 04:40:14.332000700+00:00,114.26759202891303,72.51315,116.63031658284315,101.13702056264269
2025-03-31 04:40:14.332000700+00:00,114.26855602208309,75.64858,116.63166801237682,102.18293549765201
2025-04-01 04:40:14.332000700+00:00,114.26923887341361,78.62422,116.63301944191048,103.17549337236062
2025-04-02 04:40:14.332000700+00:00,114.26972257594811,81.62364,116.63437087144413,104.17591180505524
2025-04-03 04:40:14.332000700+00:00,114.27006521003466,84.569725,116.6357223009778,105.15850418254452
2025-04-04 04:40:14.332000700+00:00,114.27030791729561,87.443565,116.63707373051146,106.11698233881981
2025-04-05 04:40:14.332000700+00:00,114.27047984068803,90.260155,116.63842516004512,107.05635324161808
2025-04-06 04:40:14.332000700+00:00,114.27060162383017,92.94024,116.63977658957879,107.95020572201524
2025-04-07 04:40:14.332000700+00:00,114.270687889774,95.035255,116.64112801911244,108.64902378033844
2025-04-08 04:40:14.332000700+00:00,114.270748996861,95.837875,116.6424794486461,108.91703460390602
2025-04-09 04:40:14.332000700+00:00,114.27079228249514,94.78756,116.64383087817977,108.56739422331742
2025-04-10 04:40:14.332000700+00:00,114.270822944178,91.700386,116.64518230771343,107.53879709975156
2025-04-11 04:40:14.332000700+00:00,114.27084466359634,86.46183,116.6465337372471,105.79306951333452
2025-04-12 04:40:14.332000700+00:00,114.27086004869882,79.71354,116.64788516678075,103.54409477967158
2025-04-13 04:40:14.332000700+00:00,114.27087094684418,72.36952,116.64923659631441,101.09654321262838
2025-04-14 04:40:14.332000700+00:00,114.27087866662197,65.80734,116.65058802584808,98.90960307392231
2025-04-15 04:40:14.332000700+00:00,114.27088413498076,60.778522,116.65193945538174,97.23378202727253
2025-04-16 04:40:14.332000700+00:00,114.27088800853112,57.506897,116.6532908849154,96.1436919553676
2025-04-17 04:40:14.332000700+00:00,114.2708907523877,55.75892,116.65464231444906,95.5614839430146
2025-04-18 04:40:14.332000700+00:00,114.27089269601778,55.48867,116.65599374398272,95.47185226304053
2025-04-19 04:40:14.332000700+00:00,114.2708940728018,56.402695,116.65734517351639,95.7769779828222
2025-04-20 04:40:14.332000700+00:00,114.27089504805642,57.92569,116.65869660305005,96.2850937827907
2025-04-21 04:40:14.332000700+00:00,114.27089573888487,59.841454,116.6600480325837,96.92413244123821
2025-04-22 04:40:14.332000700+00:00,114.27089622823806,62.07405,116.66139946211737,97.66878219789191
2025-04-23 04:40:14.332000700+00:00,114.27089657487483,64.826294,116.66275089165103,98.58664713727944
2025-04-24 04:40:14.332000700+00:00,114.27089682041742,67.92158,116.66410232118469,99.6188588650718
2025-04-25 04:40:14.332000700+00:00,114.27089699434924,70.99012,116.66545375071836,100.64215689304989
2025-04-26 04:40:14.332000700+00:00,114.27089711755507,74.07451,116.66680518025201,101.67073698826643
2025-04-27 04:40:14.332000700+00:00,114.27089720482877,77.13133,116.66815660978568,102.69012873735846
2025-04-28 04:40:14.332000700+00:00,114.27089726664971,80.16648,116.66950803931934,103.70229544134516
2025-04-29 04:40:14.332000700+00:00,114.27089731044101,83.16764,116.670859468853,104.70313248844305
2025-04-30 04:40:14.332000700+00:00,114.2708973414609,86.104774,116.67221089838667,105.68262757164841
2025-05-01 04:40:14.332000700+00:00,114.27089736343405,89.00547,116.67356232792032,106.64997665574442
2025-05-02 04:40:14.332000700+00:00,114.27089737899888,91.761765,116.67491375745398,107.56919188760668
2025-05-03 04:40:14.332000700+00:00,114.27089739002434,94.0804,116.67626518698765,108.34252037886078
2025-05-04 04:40:14.332000700+00:00,114.2708973978343,95.35979,116.6776166165213,108.7694336672201
2025-05-05 04:40:14.332000700+00:00,114.27089740336655,95.03811,116.67896804605496,108.6626580917017
2025-05-06 04:40:14.332000700+00:00,114.27089740728535,92.74956,116.68031947558863,107.90025812599707
2025-05-07 04:40:14.332000700+00:00,114.27089741006125,88.332245,116.68167090512229,106.42827106274348
2025-05-08 04:40:14.332000700+00:00,114.2708974120276,82.20106,116.68302233465596,104.38499239358852
